,generated question,gold question
2049,What kind of firsts did Chopin have?,chopin was the first person to create what as singular concert pieces ?
2050,Who invented the nocturne?,what new genre di john field invent ?
2051,What kind of firsts did Chopin have?,chopin was first in writing what for concerts ?
2052,What genre did Chopin write for he pioneered?,what musical concept did chopin exploit ?
2053,What genre did Chopin write for he pioneered?,what three other musicians were developing the new genre ?
2054,What kind of music does chopin made?,how many polonaises were published while chopin lived ?
2055,What kind of music does chopin made?,how many polonaises were published after chopin died ?
2056,What may be the reason for the difference in the way Chopin's mazurkas were written?,chopin was credited for making what more internationally known ?
2057,What may be a fact about Chopin's waltzes?,what is different about chopin 's waltzes versus a ballroom waltz ?
2058,What may be the reason for the interest in the song's melody?,what did chopin add to the modern dance of his era ?
2059,What may be the reason for the difference in the way Chopin's mazurkas were written?,chopin 's polish dance music was developed for what type of hall ?
2060,What may be the reason for the difference in the way Chopin's mazurkas were written?,what was chopin responsible for making popular with euorpeans ?
2061,What kind of music does chopin made?,how many chopin polonaises were published after his death ?
2062,What may be a fact about Chopin's waltzes?,what dance music of chopin was written more for recitals than ballrooms ?
2063,What are some of his well known pieces that have acquired titles?,"what is another title op. 10 , no. 12 has garnered ?"
2064,What may be the reason for the missing instrumental part in the composer's pieces?,what is the only piece chopin gave an actual title to ?
2065,What may be the reason for the title that the composer is referring to?,the funeral march was written as part of what piece ?
2066,What may be the reason for the title that the composer is referring to?,how many instrumental works did chopin give a descriptive name to ?
2067,What are some of his well known pieces that have acquired titles?,"what descriptive name was op. 10 , no. 12 given ?"
2068,What are some of his well known pieces that have acquired titles?,"what descriptive name was op. 64 , no. 1 given ?"
2069,What was Chopin's last opus number?,what was the last number chopin gave to an opus ?
2070,Who organized his piano pieces into the eight further opus numbers?,who was chopin 's musical executor ?
2071,Who organized his piano pieces into the eight further opus numbers?,how many unfinished pieces did julian fontana make into eight more opus numbers ?
2072,What was said to be the author's intention in referring to '' Polish songs ''?,op. 74 is made up of how many polish songs ?
2073,What was Chopin's last opus number?,what is the last opus number that chopin used ?
2074,Who organized his piano pieces into the eight further opus numbers?,who grouped 23 unpublished pieces and published them as opp .66-73 in 1855 ?
2075,What was said to be the author's intention in referring to '' Polish songs ''?,when was op. 74 published ?
2076,What is the first initial of the catalogue that the composer is associated with?,the kobylańska catalogue was named for who ?
2077,What changed in cataloging since 1857?,pieces published after what year stopped receiving opus numbers ?
2078,What changed in cataloging since 1857?,what have pieces published after 1857 been given rather than opus numbers ?
2079,What is the first initial of the catalogue that the composer is associated with?,what is the current musicologist reference for chopin 's pieces ?
2080,What is the first initial of the catalogue that the composer is associated with?,what is the shortened reference for the kobylańska catalogue ?
2081,What is the first initial of the catalogue that the composer is associated with?,who compiled the kobylańska catalogue ?
2082,What was the first collection of Chopin's work?,who released the first collection of chopin 's works ?
2083,What are the types of books for which people were included in scholarly editions?,who edited the polish `` national edition '' of chopin 's works ?
2084,Who are Chopin's original publishers?,maurice schlesinger and camille pleyel were what to chopin ?
2085,What genre of piano anthologies is Chopin associated with?,where did chopin 's work start t oshow up ?
2086,What are the types of books for which people were included in scholarly editions?,what was the name under scholarly publications of chopin 's work form 1937 to 1966 ?
2087,What are the types of books for which people were included in scholarly editions?,who edited the polish national edition ?
2088,What kind of rambling does chopin use in his processes?,what is central to chopin 's process ?
2089,What aspect of chopin stands above all others in relation to improvisation?,rosen suggests that a central part of chopin 's uniqueness is how he handles what ?
2090,What kind of rambling does chopin use in his processes?,what is central to chopin 's creativeness ?
2091,What may be the reason for this text?,who wrote that `` improvisation is designed for an audience '' ?
2092,What aspect of chopin stands above all others in relation to improvisation?,what did rosen suggest was important about chopin 's personality ?
2093,What kind of score does chopin usually deliver in his barcarolle op?,what piece does j. barrie jones pinpoint as a great example of chopin 's palette ?
2094,What kind of score does chopin usually deliver in his barcarolle op?,what does j. barrie jones feel stands supreme of chopin 's concert pieces ?
2095,What kind of tone does temperley seem to be taking in referring to these works?,what form does temperley feel that chopin 's ballades and scherzos are based on ?
2096,What kind of features does Chopin usually feature in his mazurkas?,chopin 's mazurkas contain more of what than his other compositions ?
2097,What kind of music does Chopin usually perform?,what form are chopin 's mazurkas and waltzes in ?
2098,What kind of music does Chopin usually perform?,which of chopin 's works shows more folk aspects ?
2099,What kind of features does Chopin usually feature in his mazurkas?,what type of bass do chopin 's mazurkas exhibit ?
2100,What may be the reason for the unusualness in music of zamurkas and waltzes?,what does chopin 's op. 63 no. 3 have that is rare ?
2101,What kind of rhythm does chopin usually maintain in his compositions?,what time are chopin 's polonaises written in ?
2102,What kind of musicians are Chopin's works?,"chopin 's ability to create an advanced polonasises surpassed even two of his teachers , zywny and who ?"
2103,What kind of rhythm does chopin usually maintain in his compositions?,chopin 's polonaise often have what kind of rhythm in their melodies ?
2104,What may be a fact about Chopin's polonaises?,chopin 's polonaises needed what kind of playing technique ?
2105,What may be the reason for the difference in the way the nocturnes are structured versus those of field?,how many nocturnes did chopin compose ?
2106,What kind of performance does Chopin usually deliver in his nocturnes?,what is it about the middle of chopin 's nocturnes that increases their drama ?
2107,What may be the reason for the difference in the way the nocturnes are structured versus those of field?,chopin 's nocturnes were more structured than who ?
2108,What may be the reason for the difference in the way the nocturnes are structured versus those of field?,what year did chopin meet field ?
2109,What may be the reason for the difference in the way the nocturnes are structured versus those of field?,which type of chopin 's compositons were difficult for perfomers due to their middle sections ?
2110,What kind of form are Chopin's études in?,what pieces of his did chopin use to teach his technique ?
2111,What kind of form are Chopin's études in?,what form are most of chopin 's études in ?
2112,What kind of form are Chopin's études in?,chopin often taught his piano technique using what form of music he wrote ?
2113,What kind of scale does Chopin use?,what piece of bach 's did chopin take inspiration for his preludes ?
2114,What may be the probable reason for Chopin's preludes to be generic?,who suggested that chopin 's preludes were not intended to be played as a group ?
2115,What may be the reason for the preludes being described as the beginnings of studies?,what was described as `` the beginning of studies '' by schumann ?
2116,What kind of scale does Chopin use?,what inspired chopin for his preludes ?
2117,What may be the probable reason for Chopin's preludes to be generic?,kenneth hamilton suggests that the preludes may not have been meant as a group but rather as what ?
2118,What may be the probable reason for Chopin's preludes to be generic?,who did a recording where étude op. 10 no. 5 .follows relude op. 28 no. 7 ?
2119,What are the first two books of the piece mentioned in the text?,"how many movements are no. 2 , op. 35 and no. 3 , op 58 in ?"
2120,What is said to be better for the piece?,what two people claimed that op 58 was `` worthy of brahms '' ?
2121,What are the first two books of the piece mentioned in the text?,"how many movements are in no. 2 , op. 35 and no. 3 , op 58 ?"
2122,What was said about the last movement made by chopin?,which movement was found lacking in musicality by schumann ?
2123,What are the first two books of the piece mentioned in the text?,"according to music historians , which sonata is similar to german tradition and worthy of brahms ?"
2124,What may be similar to Chopin's harmonic innovations?,chopin 's chord progressions are similar in style to what other composer ?
2125,What may have arisen from the keyboard improvisation technique?,what likely arose due to chopin 's technique with keyboards ?
2126,What may be the probable reason for the delayed cadences?,who wrote about chopin 's `` novel harmonic effects '' ?
2127,What techniques did Chopin use for playing piano?,what was chopin 's style based upon ?
2128,What may be the reason for the writer saying that chopin is the creator of a school of piano and a school of composition?,who wrote about a chopin 1841 recital ?
2129,What part of the body does chopin believe in?,what writing of chopin talks about everything about piano playing has to do with proper fingering ?
2130,Who was szymanowski to moritz moszkowski,according to j. barrie jones who was the only true successor to chopin ?
2131,Who else was influenced by the pianist Josef Chopin?,many people were considered influenced by chopin 's what ?
2132,Who else was similar to chopin?,who was alexander scriabin 's teacher ?
2133,Who was szymanowski to moritz moszkowski,who was chopin 's worthy successor according to jones ?
2134,Who else was similar to chopin?,who was devoted to the music of chopin ?
2135,Who else was similar to chopin?,who was alexander scriabin 's teacher ?
2136,What may be the reason for author to write that modern concert performance style is '' against what is known of chopin ''?,who wrote that the current large concert style conflicts with chopin 's preference of intimate performances ?
2137,What may be the reason for author to include excerpts from berlioz?,what did chopin tend to avoid ?
2138,What may be the reason for author to include excerpts from berlioz?,what has been falsely credited to chopin ?
2139,What may be the reason for the writer saying concerts are never real music?,what did chopin tell a student is given up in concerts ?
2140,What kind of embroidery does berlioz have referring to chopin?,who wrote about chopin 's `` chromatic embroidery '' ?
2141,What kind of words does hiller use to describe chopin's music?,"who wrote that chopin 's music , when played by him , became a `` colorful wreath of flowers '' ?"
2142,What kind of performance does rubato do?,chopin 's compositions are often played with what ?
2143,What kind of performance does rubato do?,what does rubato mean ?
2144,What kind of performance does rubato do?,"in chopin 's music where strict timing is disregarded , what is it called ?"
2145,What kind of performance does rubato belong to?,what type of chopin 's music had the most disregard for strict timing according to charles rosen ?
2146,What kind of piano does friederike müller play?,according to who did chopin demand strictly sticking with rhythm ?
2147,What kind of piano does friederike müller play?,"which student said chopin made sure his students knew his legato , cantabile style of playing ?"
2148,What else did müller demand?,"according to friederike müller , chopin insisted his students have the strictest adherence to what ?"
2149,What kind of music does chopin make?,chopin was noted as introducing music to what ?
2150,What may be the reason for the ban on the works of schummann?,what year did schumann review chopin 's piano concertos ?
2151,What may be the reason for the ban on the works of schummann?,in his review schumann made note of chopin 's emotions for what ?
2152,What may be the reason for the ban on the works of schummann?,why did schumann say the poles were in mourning ?
2153,Who written the biography of chopin?,a biography on chopin released under franz liszt 's name was likely written by who ?
2154,What kind of music does chopin make?,chopin was able to bring about a new sense of nationalism with his music because of his mazurkas and what ?
2155,What may be the reason for the ban on the works of schummann?,who wrote a glowing review of chopin 's love for his country through his music in 1836 ?
2156,What may be the reason for the ban on his works?,schumann described chopin 's music as cannons buried in what ?
2157,Who written the biography of chopin?,"though franz liszt is credited with chopin 's 1863 biography , who probably actually wrote it ?"
2158,What may be the reason for milewski's suggestion that chopin's experiences of polish music came more from  urbanised warsaw '' warsaw versions than from folk music?,who said that chopin 's familiarity with polish music was more `` urbanised '' than true folk music ?
2159,Who are the sources of the above text?,george golos references what two musicians when claiming chopin 's nationalism was overrated ?
2160,What kind of attitude does taruskin have towards schumann?,"who said chopin 's works were modeled after bach , beethoven , schubert and field ?"
2161,how did chopin make music for the people,william atwood suggested that chopin 's music was n't purposely patriotic but what ?
2162,What kind of music does chopin use?,"a modern commentator , william atwood , feels poles not only sought solace in chopin 's music but also found them a source of strength as they continued to fight for what ?"
2163,What kind of music does chopin use?,where were poles scattered to ?
2164,What may be the reason for the unusualness of his public recitals,arthur hutchings stated that chopin 's lack of what made him special ?
2165,What may be the reason for the unusualness of his public recitals,who were two of chopin 's contemporaries ?
2166,What may be the reason for the writer's comment?,what place was considered lucky for chopin to have arrived at considering how much he charged for piano lessons ?
2167,What may be the reason for the unusualness of his public recitals,who said chopin was unlike his romantic contemporaries liszt and henri herz ?
2168,Who else did Chopin dedicate his ballade to?,in what suite did schumann name a work for chopin ?
2169,Who else did Chopin dedicate his ballade to?,what piece of chopin 's work was dedicated to schumann ?
2170,What may be the probable reason for Liszt writing transcribed music?,how many of chopin 's polish songs did liszt transliterate for piano ?
2171,Who was Alkan with?,with who did chopin feel comfortable speaking of folk music with ?
2172,What may be the reason for their recognition?,what was recognized about chopin from his musical peers ?
2173,Who else did Chopin dedicate his ballade to?,what schumann suite contained the name of a piece schumann named for chopin ?
2174,Who else did Chopin dedicate his ballade to?,what piece did chopin dedicate to schumann ?
2175,What may be the probable reason for Chopin's music being traced in Liszt's later works?,what other musician shows to have elements of chopin in his work ?
2176,What was the first author's last subject?,who dedicated his 1915 piano études to chopin ?
2177,What was the first author's last subject?,for what publisher to debussy edit chopin 's music for ?
2178,Who are karol mikuli and georges mathias?,who was a student of chopin 's former students and actually recorded some chopin music ?
2179,Who are karol mikuli and georges mathias?,what music did debussy play a lot at the paris conservatoire ?
2180,What are some sources of authority for the people in relation to tibet?,who were wang jiawei and nyima gyaincain ?
2181,What may be the probable reason for horses being part of the ming's relationship with tibet?,what important trade did the ming dynasty have with tibet ?
2182,"What event happened first, the religious alliance with deshin shekpa or the effort to rebuild the karmapa?",during what years did the mongol leader kublai khan rule ?
2183,"What event happened first, the religious alliance with deshin shekpa or the effort to rebuild the karmapa?",who did the yongle emperor try to build a religious alliance with ?
2184,"What event happened first, the religious alliance with deshin shekpa or the effort to rebuild the karmapa?",deshin shekpa was the head of what school ?
2185,What may be the probable reason for the people in question's actions?,the tibetan leaders had a diplomacy with what neighboring state ?
2186,What may be the probable reason for the tibetans using armed resistance against ming?,what did the tibetans use against ming forays ?
2187,What caused the mongols to increase their activities in the amdo region?,who were the armed protectors for the gelug dalai lama ?
2188,"What event happened first, the mongols were successful armed protectors of the gelug dalai lama, or the establishment of ganden phodrang regime?",which regime did güshi khan help establish ?
2189,What event influenced the foreign policy of the qing dynasty?,when was the mongol-tibetan alliance started ?
2190,What was said to be the advantage to tang china in tibet?,in what century did the tibetan empire fall ?
2191,What was said to have happened with the tang and tibet?,who signed multiple peace treaties with the tang ?
2192,What was said to have happened with the tang and tibet?,what did one of the treaties between the tang and tibet help fix ?
2193,What was contemporaneous with tang china?,who was the tangs biggest rival ?
2194,What was said to have happened with the tang and tibet?,what year did tang and tibet sign a treaty to fix the borders ?
2195,What was said to be lacking for the people in china during the time of tibet?,when did the five dynasties and ten kingdoms period of china take place ?
2196,"What event happened first, the breakup of china or tibet?",when did the song dynasty take place ?
2197,"What event happened first, the breakup of china or tibet?",what dynasty was concerned with countering northern enemy states ?
2198,What was said to be the enemy states that the song struggled with in 960-1279?,who ruled the liao dynasty ?
2199,What was said to be the enemy states that the song struggled with in 960-1279?,who ruled the jin dynasty ?
2200,What day did genghis subjugate western xia?,which ruler took western xia under their control ?
2201,What day did genghis khan lose his throne?,who was genghis khan 's successor ?
2202,What day did genghis khan lose his throne?,what years did ögedei khan rule ?
2203,What day did genghis khan lose his throne?,who invaded tibet ?
2204,What day did genghis khan die?,who was the mongol prince ?
2205,What day did sakya pandita submit to prince godan?,who was the leader of the sakya school of tibetan buddhism ?
2206,What day did sakya pandita submit to godan?,who was the regent of the mongol empire ?
2207,What day did sakya pandita submit to godan?,in what years was töregene khatun the regent of the mongol empire ?
2208,Who was drogön chögyal phagpa?,how many states were ruled by myriarchies ?
2209,Who refused kublai for an invitation?,what title did prince kublai rule as from 1260 to 1294 ?
2210,Who refused kublai for an invitation?,who was the superior of prince kublai ?
2211,Who refused kublai for appanage in north china in 1236?,who became the second karmapa lama ?
2212,Who was a great teacher for kublai?,with whom did kublai khan have a unique relationship with ?
2213,What was tibet part of under the mongol empire,when did kublai khan conquer the song dynasty ?
2214,What was tibet part of under the mongol empire,when did the yuan dynasty rule ?
2215,What was tibet part of under the mongol empire,which dynasty ruled all of china ?
2216,What was said to be the author's main issue?,what did khubilai claim for a while ?
2217,What was tibet part of under the mongol empire,where did khubilai seek support as emperor ?
2218,Who was involved in the overthrow of the sakya viceregal regime?,what year was the sakya viceregal regime eradicated ?
2219,Who was involved in the overthrow of the sakya viceregal regime?,who placed the sakya viceregal regime position of authority ?
2220,Who was involved in the overthrow of the sakya viceregal regime?,who eradicated the sakya viceregal regime ?
2221,Who was defeated first in 1358?,which dynasty became ruler of tibet ?
2222,What day did zhu yuanzhang rule the ming dynasty?,who created the ming dynasty ?
2223,"What event happened first, the red turban rebellion, or zhu yuanzhang?",who caused the yuan dynasty to fall ?
2224,What day did zhu yuanzhang rule the ming dynasty?,who ruled as the the hongwu emperor ?
2225,What day did zhu yuanzhang rule the ming dynasty?,what years did zhu yuanzhang rule as the hongwu emperor ?
2226,"What event happened first, the red turban rebellion, or ming court was established?",who did the hongwu emperor send convoys to ?
2227,What date did rolpe dorje die?,who was the fourth karmapa lama ?
2228,What date did rolpe dorje die?,who rejected an invitation by the hongwu emperor ?
2229,What may be the reason for the text?,what did the the hongwu emperor want to continue to promote ?
2230,What date did rolpe dorje die?,who did rolpe dorje send as envoys to court in nanjing ?
2231,What religion did han chinese learn in early ming?,who created a law that did not allow han chinese to learn the beliefs of tibetan buddhism ?
2232,Who was said to be seeking an extension of relations with tibet?,what years did the yongle emperor reign ?
2233,Who was said to be seeking an extension of relations with tibet?,who worked towards obtaining a extension of relations with tibet ?
2234,What was established first in western tibet?,what years did the qing dynasty rule ?
2235,What was established first in western tibet?,what year was the history of ming produced ?
2236,What was established first in western tibet?,what did the ming dynasty create ?
2237,What are the types of high commanderies that the army-civilian marshal office was set up under?,how many qianhu offices were there ?
2238,What was established first in western tibet?,where was the é-lì-sī army-civilian marshal office established ?
2239,What are the first two things the court appointed the princes of dharma to?,how many princes of dharma were assigned by the ming court ?
2240,Who was said to be one of many reforms to revive old imperial tibetan traditions?,who established the tibetan law code ?
2241,Who was said to be one of many reforms to revive old imperial tibetan traditions?,who was the phagmodru ruler ?
2242,Who are the sources discussed by the two people mentioned in the text?,who was a professor of the university of washington ?
2243,Who are the sources discussed by the two people mentioned in the text?,who had a large amount of contacts with china during yuan ?
2244,"Who wrote that tibet, which had extensive contacts with china during the yuan, scarcely had diplomatic relations with the ming?",who believed that tibet barely had any diplomatic relations with the ming ?
2245,Who supported van praag?,who supported van praag 's beliefs ?
2246,Who else said similar things about the view that the historian is referring to?,who did not agree with van praag and shakabpa ?
2247,"What event happened first, the sending of edicts to tibet or the mongol prince punala?",who believed that the ming court had full sovereignty over tibet ?
2248,Who was said to be ruler of the region in 1371?,what year did wang and nyima believe that the mongol prince punala went to nanjing ?
2249,What title did wang and nyima state?,what did the lamas called themselves ?
2250,"What event happened first, the mongol prince punala went to nanjing or the emperor sent edicts to tibet?",what edicts did the ming issue ?
2251,Who are wang and nyima?,who wrote the book the story of tibet ?
2252,Who was involved in the making of the people's republic of china's relationship to tibet?,who colonized india and new zealand ?
2253,Who are wang and nyima?,who 's viewpoint does thomas laird believe wang and nyima present ?
2254,What was said about the columbia encyclopedia in regard to the yuan dynasty?,how did the the columbia encyclopedia describe the yuan dynasty ?
2255,What was said to be the mongol dynasty in china?,how did the encyclopedia americana describe the yuan dynasty ?
2256,What was said to be the ethnicity of the monarchs?,what did thomas laird dismiss the yuan dynasty as ?
2257,What was said to be indicative of the yuan dynasty?,who wrote the book khubilai khan ?
2258,What was said about the columbia encyclopedia in regard to the yuan dynasty?,when did the yuan dynasty start and end ?
2259,What was said to be one of the results of the reinstatement of the imperial examinations was kublai?,when did ayurbarwada buyantu khan reign ?
2260,What kind of monarchy was the writer describing in the text?,during the yuan what existed between china and tibet ?
2261,What was said to be better for the people in relation to han chinese?,who was granted higher status than the han chinese majority ?
2262,Who implemented a policy of bestowing titles upon religious leaders who had submitted to the ming dynasty?,who abolished the policy council ?
2263,Who was appointed as the general of the ngari military and civil wanhu office in 1373?,what was the tibetan leader choskunskyabs appointed as ?
2264,Who implemented a policy of managing tibet according to conventions and customs?,who governed most areas of tibet ?
2265,What may be the probable reason for the people in question's post?,where is the china tibetology research center located ?
2266,What may be the probable reason for the people in question's post?,who was the director of the history studies institute ?
2267,What may be the probable reason for the people in question's post?,how many households were the offices of qianhu in charge of ?
2268,What may be the probable reason for the people in question's post?,how many households were the offices of wanhu in charge of ?
2269,Who are the sources who counter this narrative?,what was the name of the tibetologist ?
2270,What may be the probable reason for subordinates being allowed to join in?,who did the ming emperors send invitations to ?
2271,What may be the probable reason for subordinates being allowed to join in?,"when the lamas received an invite from the emperors , who did they send instead ?"
2272,What was said to be true of the people in relation to bailenstein's words?,what was the western regions composed of ?
2273,What was said to be true of the people in relation to bailenstein's words?,who believed that they were the true han western representatives ?
2274,What title did tai situpa have in his will,what title was given by the yuan court to tai situ changchub gyaltsen ?
2275,What title did tai situpa have in his will,what tibetan title was hardly ever mentioned when referring to tai situ changchub gyaltsen ?
2276,What may be the probable relationship between the imperial court and phagmodrupa dynasty?,what dynasty kept a central-local government relation with the yuan imperial court ?
2277,What title did tai situpa have in his will,what two people claim the title of education minister was often seen next to tai situ changchub gyaltsen 's name in tibetan texts ?
2278,What may be the probable reason for the emperor in the east taking care of the imperial envoy?,who wrote in their will that they received loving care from the emperor in the east ?
2279,What was said to be the author's main aim?,who divided central tibet into districts ?
2280,What was changchub gyaltsen's passion?,who strongly believed changchub gyaltsen wanted to restore the glories of its imperial age to tibet ?
2281,What was said to be the author's main aim?,what university was lok-ham chan a professor at ?
2282,What was said to be the author's main aim?,what did lok-ham chan claim changchub gyaltsen wanted to remove ?
2283,What may be the probable reason for the emperor issuing the edict?,who did the hongwu emperor grant the title initiation state master to ?
2284,What may be the probable reason for the ming officer's suggestion?,who suggested to the emperor that an official title be granted to second phagmodru ruler ?
2285,What may be the probable reason for the ming officer's suggestion?,who was the second phagmodru ruler ?
2286,What may be the probable reason for the ming officer's suggestion?,who told the emperor that the situation in dbus and gtsang were under control ?
2287,What may be the probable reason for the emperor issuing the edict?,where were the envoys sent ?
2288,What caused dalai lama to have power over tibet?,who lost their power over tibet ?
2289,What caused dalai lama to have power over tibet?,what year did the phagmodrupa lose their power over tibet ?
2290,What caused dalai lama to have power over tibet?,what year did the 5th dalai lama start to dominate over tibet ?
2291,What caused dalai lama to have power over tibet?,what did the other families fail to establish ?
2292,What was said to be the reason for people declining title issuing invitations to receive titles?,the ming dynasty granted what titles to lamas of schools ?
2293,What was said to be the reason for people declining title issuing invitations to receive titles?,who did the ming dynasty decline titles from after receiving invitations ?
2294,What event did je tsongkhapa experience?,who was the founder of the gelug school ?
2295,What event did je tsongkhapa experience?,who invited je tsongkhapa to come pay tribute ?
2296,What event did je tsongkhapa experience?,who wrote the letter declining the emperor 's invitation ?
2297,Who refused tsongkhapa's request to appear to the court?,when did the ming first request tsongkhapa to come to court ?
2298,Who refused tsongkhapa's request to appear to the court?,when did the ming court send a second request to tsongkhapa ?
2299,Who refused to appear at the ming court in 1403-1427?,who did tsongkhapa send in his place to nanjing ?
2300,Who refused to appear at the ming court in 1403-1427?,when was chosrje shākya yeshes sent to nanjing ?
2301,Who are the historians who favor the view that the ming simply reappointed old yuan dynasty officials in tibet and perpetuated their rule of tibet?,who believed the ming reappointed old yuan dynasty officials in tibet ?
2302,What may be the probable reason for the alliances with the tibet princes?,who did the ming appoint titles to ?
2303,What may be the probable reason for the alliances with the tibet princes?,what did n't the ming send to replace the mongols when they left tibet ?
2304,What may be the probable reason for the alliances with the tibet princes?,what does yiu yung-chin claim the ming did not possess ?
2305,What country did yongle pay tributes to?,what was the name of the eunuch ?
2306,What country did yongle pay tributes to?,where did the yongle emperor send yang sanbao ?
2307,What country did yongle pay tributes to?,when did yongle emperor send yang sanbao into tibet ?
2308,What country did yongle pay tributes to?,why did yongle emperor send yang sanbao into tibet ?
2309,What country did yongle pay tributes to?,why did the emperor pay a small fortune in gifts ?
2310,What language did the author use for the text?,who did the gelug exchange gifts with ?
2311,What language did the author use for the text?,until what year frame did the gelug exchange gifts with the the ming ?
2312,What language did the author use for the text?,what was the gelug not mentioned in ?
2313,What may be the reason for the ongoing civil war in tibet?,"regardless of their sectarian affiliations , who did the ming grant titles to ?"
2314,Who was involved in the overthrow of the phagmodru myriarchy?,who was the viceregal sakya regime overthrown by ?
2315,"Who asserts that by conferring titles on tibetans already in power, the ming emperors knew political reality?",who believed that the ming had no real authority over tibet ?
2316,What are the first two books above?,what years did the rinpungpa regime start and end ?
2317,"Who asserts that by conferring titles on tibetans already in power, the ming emperors knew political reality?",who believed that the titles given to tibetan leaders did not confer authority ?
2318,What are the first two books above?,what years did the tsangpa start and end ?
2319,Who was well-disposed towards buddhism?,what year did the jianwen emperor reign start and end ?
2320,Who was well-disposed towards buddhism?,who aided the yongle emperor ?
2321,Who was well-disposed towards buddhism?,who was yongle emperor 's father ?
2322,Who refused the invitation of the hongwu emperor?,when did the yongle emperor invite deshin shekpa to his court ?
2323,Who was zhi guang?,who did the yongle emperor send to tibet ?
2324,Who was zhi guang?,why did the yongle emperor send hou xian and zhi guang to tibet ?
2325,What day did yongle emperor send his eunuch hou xian and the buddhist monk zhi guang to tibet?,when did hou xian and zhi guang return to nanjing ?
2326,What day did yongle emperor send his eunuch hou xian and the buddhist monk zhi guang to tibet?,where did hou xian and zhi guang travel through on their way to the karmapa ?
2327,What day did deshin shekpa arrive in nanjing?,when did deshin shekpa travels start ?
2328,What day did deshin shekpa arrive in nanjing?,where did the yongle emperor greet the karmapa ?
2329,What manner of greeting did the yongle emperor give the karmapa?,who did the emperor give the place of honor at his left to ?
2330,Who else did rossabi describe?,who sat on a lower platform than the tibetan cleric ?
2331,Who was said to be following the tradition of the sakya lamas?,who showed a great amount of respect to deshin shekpa ?
2332,What day did the great treasure prince of dharma meet the yongle emperor?,at what temple did the ceremonies for the yongle emperor 's deceased parents take place ?
2333,What day did the great treasure prince of dharma meet the yongle emperor?,where was the linggu temple located ?
2334,Who refused the yongle emperor's offer of a dynasty?,what title was deshin shekpa given at nanjing ?
2335,Who persuaded the yongle emperor to grant the title to other tibetan buddhist sects?,who did deshin shekpa persuade the yongle emperor to give the title to ?
2336,What may be the reason for the text?,who imposed on the military might on tibet in the past ?
2337,What may be the probable reason for deshin's invitation to the emperor?,hok-lam chan states that deshin skekpa was only invited for what purpose ?
2338,What may be the probable reason for deshin shekpa persuading the yongle emperor not to impose his military might on tibet?,what was said to be the yongle emperor plans ?
2339,What may be the probable reason for deshin shekpa persuading the yongle emperor not to impose his military might on tibet?,why was the yongle emperor said to have been planning to send military forces into tibet ?
2340,What may be the reason for the text?,who convinced the yongle emperor not to send military forces into tibet ?
2341,Who served as a legitimizing tool for the  Emperor?,who did the yongle emperor have a conflict with ?
2342,Who served as a legitimizing tool for the  Emperor?,who aided the legitimacy of the yongle emperor 's rule ?
2343,Who served as a legitimizing tool for the  Emperor?,what served as a legitimizing tool for the emperor 's succession to the throne ?
2344,Who are the tibetan leaders?,according to norbu who failed to realize the significance of the religious aspect of the ming-tibetan relationship ?
2345,What item of tribute does norbu note?,what were the items of tribute ?
2346,What character did kolma try to depict in referring to ming dynasty's relationship with tibet?,who believe that the ming dynasty did not exercise any direct political control over tibet ?
2347,"What date did the great treasure prince of dharma, the karmapa was delivered his message?",what years did the zhengtong emperor reign ?
2348,"What date did the great treasure prince of dharma, the karmapa was delivered his message?",who maintains an edict of the zhengtong emperor ?
2349,"What date did the great treasure prince of dharma, the karmapa was delivered his message?",who was the edict addressed to ?
2350,"Who delivered the edict of the zhengtong emperor to the great treasure prince of dharma, the karmapa?",who had a message delivered to them by zhengtong ?
2351,"What date did the great treasure prince of dharma, the karmapa was delivered his message?",when was the edict written ?
2352,"What event happened first, the court cut off relations with karmapa hierarchs or the emperor?",who did the ming cut off all relations with ?
2353,"What event happened first, the court cut off relations with karmapa hierarchs or the emperor?",what year did the ming cut off the karmapa hierarchs ?
2354,"What event happened first, the court cut off relations with the karmapa hierarchs, or deshin shekpa died?",when did deshin shekpa die ?
2355,"What event happened first, the court cut off relations with karmapa hierarchs or the emperor?",who did the ming court think the representatives were sent by ?
2356,What may be the probable reason for deshin shekpa's visit?,why did yongle order the construction ?
2357,What may be the probable reason for deshin shekpa's visit?,what did yongle want to trade with tibet ?
2358,What border did the trade route pass through?,where did the trade route pass through ?
2359,What may be the reason van praag states that the ming court established diplomatic delegations with tibet merely to secure urgently needed horses?,why does van praag believe the ming court set up a diplomatic delegation with tibet ?
2360,What kind of industry does the author view the ming as serving?,what shops were catered to the tibetan market ?
2361,What kind of industry does the author view the ming as serving?,what visual images and symbols were on furnishings from the silk workshops ?
2362,What may be the reason van praag states that the ming court established diplomatic delegations with tibet merely to secure urgently needed horses?,who were the tibetan areas were ruled by ?
2363,What are the sources of their claim that diplomatic delegations with tibet were not diplomatic?,wang and nyima believed horses were collected from tibet as what kind of tax ?
2364,What was said to be an effort to drive the mongols from the frontiers of china?,who did the ming trade horses with ?
2365,"What event happened first, the peace with the ming dynasty or the reopening of the border markets?",who was the leader of the tümed mongols ?
2366,"What event happened first, the peace with the ming dynasty or the reopening of the border markets?",who did altan khan overthrow ?
2367,What was said to be an effort to drive the mongols from the frontiers of china?,who did altan khan make peace with ?
